				00:00-01:00	01:00-02:00	02:00-03:00	03:00-04:00	04:00-05:00	05:00-06:00	06:00-07:00	07:00-08:00	08:00-09:00	09:00-10:00	10:00-11:00	11:00-12:00	12:00-13:00	13:00-14:00	14:00-15:00	15:00-16:00	16:00-17:00	17:00-18:00	18:00-19:00	19:00-20:00	20:00-21:00	21:00-22:00	22:00-23:00	23:00-24:00
IP	Name	Directions	Status
192.12.12.1280	description		Offline
		Enter		
		Exit		
192.12.12.13	description		Offline
		Enter		
		Exit		
192.168.30.50	desssss		Online
		Enter		0	1	0	0	0	0	1	0	2	15	13	20	12	7	15	11	10	9	3	0	0	0	0	0	
		Exit		4	1	1	0	2	2	4	0	0	10	8	18	6	6	12	12	15	6	2	0	0	0	0	0	
192.168.30.41	rterteeret		Online
		Enter		0	0	0	0	0	0	0	0	0	0	10	238	86	30	98	148	91	92	0	0	0	0	0	0	
		Exit		0	0	0	0	0	0	0	0	0	0	10	218	95	30	97	146	110	126	0	0	0	0	0	0	
